Date,AAPL,GOOG,MSFT
2020-05-12,75.6780014038086,68.38053894042969,174.37454223632812
2020-05-13,74.76426696777344,67.0678482055664,171.73756408691406
2020-05-14,75.22355651855469,67.40583038330078,172.48280334472656
2020-05-15,74.77884674072266,68.25379180908203,174.99554443359375
2020-05-18,76.54070281982422,68.78811645507812,176.66761779785156
2020-05-19,76.09841918945312,68.2684555053711,175.4446563720703
2020-05-20,77.57841491699219,69.92037963867188,177.878173828125
2020-05-21,77.00003051757812,69.72553253173828,175.7416229248047
2020-05-22,77.49578094482422,70.10428619384766,175.8183135986328
2020-05-26,76.97086334228516,70.43234252929688,173.95960998535156
2020-05-27,77.30622100830078,70.47309875488281,174.18955993652344
2020-05-28,77.34024810791016,70.41792297363281,173.7967071533203
2020-05-29,77.2649154663086,71.0238265991211,175.56918334960938
2020-06-01,78.21510314941406,71.16796875,175.1667938232422
2020-06-02,78.57720947265625,71.53578186035156,177.1596221923828
2020-06-03,79.0097885131836,71.39462280273438,177.59075927734375
2020-06-04,78.32933807373047,70.1917724609375,175.25303649902344
2020-06-05,80.56022644042969,71.4945297241211,179.3536376953125
2020-06-08,81.03654479980469,71.90309143066406,180.4649658203125
2020-06-09,83.59550476074219,72.37777709960938,181.84463500976562
2020-06-10,85.74620819091797,72.85942077636719,188.589599609375
2020-06-11,81.62950897216797,69.77722930908203,178.46261596679688
2020-06-12,82.33424377441406,70.24147033691406,179.87098693847656
2020-06-15,83.35250854492188,70.57300567626953,181.02069091796875
2020-06-16,85.5615005493164,71.70974731445312,185.45663452148438
2020-06-17,85.44243621826172,72.12726593017578,186.09854125976562
2020-06-18,85.47647094726562,71.37374114990234,188.0913543701172
2020-06-19,84.98800659179688,71.16300201416016,186.9704132080078
2020-06-22,87.21160125732422,72.16404724121094,192.1632537841797
2020-06-23,89.07311248779297,72.78783416748047,193.44705200195312
2020-06-24,87.50080871582031,71.17542266845703,189.54766845703125
2020-06-25,88.66239929199219,71.64066314697266,191.94288635253906
2020-06-26,85.93818664550781,67.59321594238281,188.10096740722656
2020-06-29,87.91877746582031,69.33634948730469,190.1224822998047
2020-06-30,88.6527099609375,70.2628402709961,194.9800262451172
2020-07-01,88.48502349853516,71.47711944580078,196.12014770507812
2020-07-02,88.48502349853516,72.80225372314453,197.61471557617188
2020-07-06,90.85202026367188,74.34308624267578,201.86862182617188
2020-07-07,90.57012176513672,73.82020568847656,199.52133178710938
2020-07-08,92.67948913574219,74.3580093383789,203.90940856933594
